year	month	day	monthday	link	city	state
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1825.MOV")	Henderson	Nevada
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1671.MOV")	Rocky Point	New York
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1813.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1840.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1849.MOV")	Henderson	Nevada
2014	08	23	Aug 23	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1774.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1836.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1853.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1854.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1870.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1886.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1864.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1888.MOV")	Henderson	Nevada
2014	08	27	Aug 27	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1963.MOV")	Washington	District of Columbia
2014	08	27	Aug 27	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1962.MOV")	Washington	District of Columbia
2014	08	27	Aug 27	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1991.MOV")	Washington	District of Columbia
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1885.MOV")	Henderson	Nevada
2014	08	26	Aug 26	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1960.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2043.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2044.MOV")	Washington	District of Columbia
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1865.MOV")	Henderson	Nevada
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2045.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2041.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2054.mov")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2046.MOV")	Washington	District of Columbia
2014	08	30	Aug 30	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_2047.MOV")	Washington	District of Columbia
